Job Number,License Number,Business Name,Street Address,Licensee,Licensee Name,City,State,County,Zip,Type,Accepted Date
"405632","","TACO GIRO","401 N CHIRICAHUA Road ","","","DOUGLAS","Arizona","","85607","","2026-07-08T00:00:00"
"405534","","SOJU STATION","1976 W SOUTHERN Avenue ","","","MESA","Arizona","","85202","","2026-07-07T00:00:00"
"408377","006040033214","TONTO APACHE PUB","100D E SCOUT LOOP ","TONTO APACHE TRIBE","","PAYSON","Arizona","Gila","85541","Bar","2026-07-07T00:00:00"
"405525","07150021","SOMEWHERE AZ","28100 HWY 72 ","STEVEN TODD SIEGNER","Steven Siegner","BOUSE","Arizona","La Paz","85325","Beer and Wine Bar","2026-07-07T00:00:00"
"405351","","BUDDHA'S BREW COFFEE CAFE","710 E MAIN Street ","","","MESA","Arizona","","85203","","2026-07-06T16:41:15"
"405363","","DEL MONTE MARKET","2659 W DOBBINS Road ","","","PHOENIX","Arizona","","85041","","2026-07-06T00:00:00"
"405428","06100180","ETIQUETTE","3702 E HARDY DRIVE ","BOOKER IS A PIG LLC ","","TUCSON","Arizona","Pima","85716","Bar","2026-07-06T00:00:00"
"405366","07040019","ROCKHOUSE RIVER RANCH","5732 N HWY 288 ","ROCKHOUSE RIVER OUTPOST LLC","","GLOBE","Arizona","Gila","85501","Beer and Wine Bar","2026-07-06T00:00:00"
"404665","","TAP HOUSE SPORTS GRILL","13699 N LITCHFIELD ROAD ","","","SURPRISE","Arizona","","85379","","2026-07-03T15:02:59"
"404605","","GRAB N GO PIMA","4477 E 5TH Street ","","","TUCSON","Arizona","","85711","","2026-07-02T00:00:00"
"404550","","B&R FISH SHOP","4343 E CAMELBACK ROAD #400","","","PHOENIX","Arizona","","85018","","2026-07-01T15:33:20"
"404506","","ALDI #183","6817 W PEORIA AVENUE ","","","PEORIA","Arizona","","85345","","2026-07-01T10:34:58"
"404248","","ROCK N ROLL SUSHI","15611 W MCDOWELL ROAD STE 110","","","GOODYEAR","Arizona","","85395","","2026-06-30T14:20:39"
"404219","","BJ'S RESTAURANT & BREWHOUSE","1565 N VERRADO WAY ","","","BUCKEYE","Arizona","","85396","","2026-06-30T11:56:24"
"404218","","FOGO DE CHAO CHURRASCARIA","14725 W GOODYEAR WAY ","","","GOODYEAR","Arizona","","85395","","2026-06-30T00:00:00"
"404249","07070487","ARIZONA TRADITIONS COMMUNITY CENTER","17221 N CITRUS ROAD ","COMPETITIVE HEALTH HOLDINGS LLC","","SURPRISE","Arizona","Maricopa","85374","Beer and Wine Bar","2026-06-30T00:00:00"
"410013","07070487","CENTER COURT PICKLEBALL CLUB","10220 N 90TH STREET #C","COMPETITIVE HEALTH HOLDINGS LLC","","SCOTTSDALE","Arizona","Maricopa","85258","Beer and Wine Bar","2026-06-30T00:00:00"
"404184","","IZUMI","3655 E SPEEDWAY BOULEVARD ","","","TUCSON","Arizona","","85716","","2026-06-29T18:48:59"
"404179","","5R WILMOT","7710 S WILMOT Road ","","","TUCSON","Arizona","","85756","","2026-06-29T17:06:52"
"404122","","BOTTLE & BEAN","2577 W QUEEN CREEK Road #100","","","CHANDLER","Arizona","","85248","","2026-06-29T00:00:00"
"404172","","EL PERICO","1328 E FLORENCE Boulevard ","","Graciela Salinas Tepuri ","CASA GRANDE","Arizona","","85122","","2026-06-29T00:00:00"
"404043","","DOROTHY","2870 E SKYLINE #190","","","TUCSON","Arizona","","85718","","2026-06-26T00:00:00"
"403972","","SPROUTS FARMERS MARKET #0058","10015 E OLD VAIL ROAD ","","","TUCSON","Arizona","","85747","","2026-06-25T13:55:24"
"403935","","SPROUTS FARMERS MARKET #0059","1110 W SOUTHERN AVENUE #1-6","","","MESA","Arizona","","85210","","2026-06-25T13:36:09"
"404021","06100157","EL REY","41390 S SASABE HIGHWAY ","EL REY CANTINA LLC","","SASABE","Arizona","Pima","85633","Bar","2026-06-25T00:00:00"
"403863","","VF Studio","15855 N GREENWAY HAYDEN LOOP SUITE 150","","","SCOTTSDALE","Arizona","","85260","","2026-06-24T21:49:02"
"403868","","CURRY PIZZA HOUSE ","3950 W RAY Road #1","","","CHANDLER","Arizona","","85226","","2026-06-24T15:55:34"
"403749","","LUCKY PENNY BBQ","47 N 6TH AVENUE ","","","TUCSON","Arizona","","85701","","2026-06-24T15:02:28"
"401073","","ALLSUP'S #102509","1151 N VIRGINIA AVENUE ","","","WILLCOX","Arizona","","85643","","2026-06-24T09:33:04"
"403769","","QUIKTRIP #1429","9875 W INDIAN SCHOOL ROAD ","","","PHOENIX","Arizona","","85037","","2026-06-23T20:30:31"
"403702","","FRENCH TOAST CAFE ","1245  W ELLIOT  ROAD #101","","","TEMPE","Arizona","","85254","","2026-06-23T09:51:47"
"403674","06070704","NORDSTROM MARKETPLACE CAFE","7055 E CAMELBACK Road #380","NORDSTROM INC","","SCOTTSDALE","Arizona","Maricopa","85251","Bar","2026-06-22T00:00:00"
"403578","06073603","DOVE VALLEY RANCH GOLF CLUB ","33750 N DOVE LAKES Drive ","WG DOVE VALLEY LLC ","","CAVE CREEK","Arizona","Maricopa","85331","Bar","2026-06-22T00:00:00"
"403226","","WHITE MOUNTAINS BREWING TAP ROOM","1488 WHITE MOUNTAIN BOULEVARD ","","","PINETOP","Arizona","","85935","","2026-06-19T14:07:29"
"403432","","SNOOZE","21791 S ELLSWORTH LOOP ROAD #102","","","QUEEN CREEK","Arizona","","85142","","2026-06-18T16:09:04"
"403378","","BARRO'S PIZZA","3323 E BASELINE ROAD ","","","PHOENIX","Arizona","","85042","","2026-06-17T00:00:00"
"401736","","ITZ-A WINGS","6837 E MAIN STREET ","","","MESA","Arizona","","85207","","2026-06-16T16:40:55"
"401929","06110054","LIQUOR FACTORY BAR & LOUNGE ","9674 W MONACO BOULEVARD #B","LIQUOR FACTORY BAR & LOUNGE LLC","","ARIZONA CITY","Arizona","Pinal","85123","Bar","2026-06-16T00:00:00"
"403090","","WICKED SEAFOOD AND MEATS GOURMET MARKET ","7609 E PINNACLE PEAK ROAD #C4 & C5","","","SCOTTSDALE","Arizona","","85255","","2026-06-15T13:02:45"
"402982","","ALDI #168","19605 W INDIAN SCHOOL ROAD ","","","BUCKEYE","Arizona","","85396","","2026-06-12T14:12:30"
"402758","","MINI SOCIAL","7116 E 5TH AVENUE ","","","SCOTTSDALE","Arizona","","85251","","2026-06-10T13:56:03"
"401753","","THE CAJUN CRAB","17275 N 79TH Avenue #100","","","GLENDALE","Arizona","","85308","","2026-06-09T18:00:09"
"385700","","WE DRINK TEQUILA","9801 S 51ST STREET #E03","","","PHOENIX","Arizona","","85044","","2026-06-08T15:17:48"
"401943","","ALDI #167","4727 E BELL ROAD #39","","","PHOENIX","Arizona","","85032","","2026-06-05T13:02:21"
"401686","","PALMERI DISTILLERY","841 E BEECHCRAFT BOULEVARD ","","","BISBEE","Arizona","","85603","","2026-06-03T10:44:41"
"400538","","TACO GIRO","13160 E COLOSSAL CAVE ROAD #100","","","VAIL","Arizona","","85641","","2026-06-01T12:34:13"
"398587","","PRE GAME SPORTS GRILL","4142 E CHANDLER BOULEVARD #105","","","PHOENIX","Arizona","","85048","","2026-06-01T12:02:25"
"401567","","BANGRAK","49 W THOMAS  Road ","","","PHOENIX ","Arizona","","85013","","2026-06-01T00:00:00"
